Geneid	Chr	Start	End	Strand	Length	logFC.StageLate	logFC.StageMiddle	logCPM	F	PValue	FDR
5465	YOL054W	NC_001147.6	228614	229834	+	1221	-14.5356535218755	-14.1495200450954	5.64345304898816	3817.71802790154	1.24645675571074e-17	2.59223735026723e-16
6297	YPR086W	NC_001148.4	710101	711138	+	1038	-13.0315117467115	-12.7571838610113	7.1460854762184	3813.83713027863	1.2497333157257e-17	2.59223735026723e-16
4882	YMR282C	NC_001145.3	833356	835098	-	1743	-13.8180253196861	-13.0361062491958	6.43092066634427	3813.97429752425	1.25119962135502e-17	2.59223735026723e-16
911	YDL051W	NC_001136.10	363952	364779	+	828	-15.151225541805	-14.4801010444317	5.27380113951767	3816.67742915133	1.25224826894115e-17	2.59223735026723e-16
1879	YFL028C	NC_001138.5	79344	80213	-	870	-14.16721481905	-13.4229775086694	6.13847206546371	3813.69387230746	1.25248271192934e-17	2.59223735026723e-16
1449	YDR470C	NC_001136.10	1399706	1401214	-	1509	-13.8113176565594	-14.0358331794822	5.97904254601277	3809.85055024981	1.26028993563013e-17	2.59223735026723e-16
2250	YGL004C	NC_001139.9	490703	491956	-	1254	-14.8777816443038	-15.1015379533141	5.07699042566531	3812.52472415746	1.26119772952735e-17	2.59223735026723e-16
1359	YDR375C	NC_001136.10	1225166	1226536	-	1371	-13.3939896046174	-13.6016059389375	6.45708703044188	3806.7497421703	1.26501939811735e-17	2.59223735026723e-16
1413	YDR430C	NC_001136.10	1325501	1328470	-	2970	-12.7367561228851	-14.2804729802155	6.60135700045077	3805.19914263775	1.26855683898698e-17	2.59223735026723e-16
2276	YGR024C	NC_001139.9	531883	532596	-	714	-14.6338980213462	-14.0912882094877	5.89349173821331	3805.44394303549	1.27030016411768e-17	2.59223735026723e-16
1875	YFL033C	NC_001138.5	69115	74427	-	5313	-12.6183457447234	-12.5015331945559	7.95785977068188	3801.06174216622	1.27487637007128e-17	2.59223735026723e-16
2842	YHR187W	NC_001140.6	480990	481919	+	930	-15.1179387382466	-14.895283119868	5.12611542164761	3804.25635991874	1.2781957257099e-17	2.59223735026723e-16
3469	YJR125C	NC_001142.9	654737	655963	-	1227	-13.6424409330779	-13.8937450179585	6.24822987720919	3799.04847654102	1.28106269004427e-17	2.59223735026723e-16
4237	YLR291C	NC_001144.5	718317	719462	-	1146	-15.1777314951509	-14.7899216352871	4.92053632405705	3800.68720663076	1.28780720378903e-17	2.59223735026723e-16
1264	YDR288W	NC_001136.10	1037195	1038106	+	912	-15.1950092636891	-15.0600109695616	5.12001966719952	3796.65522904581	1.29464077947237e-17	2.59223735026723e-16
1298	YDR319C	NC_001136.10	1105003	1105827	-	825	-15.212292300485	-15.5301302625444	5.00803909633306	3796.46844345911	1.29805252417144e-17	2.59223735026723e-16
921	YDL040C	NC_001136.10	378874	381438	-	2565	-12.9985870063083	-12.9982684836334	6.85748147361713	3789.61219184998	1.29912433711849e-17	2.59223735026723e-16
504	YBR270C	NC_001134.8	742761	744398	-	1638	-15.3035302529184	-15.1505335886545	4.9723090262179	3792.97568759862	1.30366510722734e-17	2.59223735026723e-16
1974	YFR048W	NC_001138.5	246146	248134	+	1989	-14.8310470157516	-14.4890262098358	5.550465178477	3789.44082093234	1.30479124301692e-17	2.59223735026723e-16
3775	YKR038C	NC_001143.9	511999	513159	-	1161	-14.0593085113441	-13.7686058605022	6.17972867082974	3787.27246737793	1.30589339141044e-17	2.59223735026723e-16
25	YAL044C	NC_001133.9	57950	58462	-	513	-12.728600910202	-13.3790583205953	6.71895214315058	3785.22486636775	1.3087290150526e-17	2.59223735026723e-16
3683	YKL051W	NC_001143.9	341312	342373	+	1062	-15.5670212105351	-15.4680388772723	4.86220238660315	3791.61778875658	1.31092551660884e-17	2.59223735026723e-16
2920	YIL137C	NC_001141.2	89948	92788	-	2841	-12.8693943909802	-13.1072197566451	6.84208607009495	3783.52347212123	1.31203558144279e-17	2.59223735026723e-16
3936	YLR024C	NC_001144.5	187663	193281	-	5619	-13.0159299635064	-12.9530664445684	7.69515574434282	3782.79635766713	1.31277670750333e-17	2.59223735026723e-16
5177	YNL080C	NC_001146.8	476932	478032	-	1101	-14.5324423076385	-14.5040146035963	5.60723725703383	3782.9774226015	1.31724074369299e-17	2.59223735026723e-16
5234	YNL029C	NC_001146.8	577205	578773	-	1569	-14.3747277131898	-13.8308157135937	6.1108720034495	3781.89181725611	1.31758372087567e-17	2.59223735026723e-16
3836	YKR096W	NC_001143.9	626793	630380	+	3588	-12.5717865718388	-12.8647694021983	7.58274150911081	3779.89518829926	1.31852791322346e-17	2.59223735026723e-16
2747	YHR102W	NC_001140.6	316572	319814	+	3243	-13.3709101971617	-13.3810065411351	7.0458060940411	3780.36962994846	1.31854145678275e-17	2.59223735026723e-16
4809	YMR216C	NC_001145.3	698811	701039	-	2229	-13.1265714115847	-12.996488397522	7.12194236222999	3779.63368294471	1.31946251814649e-17	2.59223735026723e-16
1936	YFR019W	NC_001138.5	184502	191338	+	6837	-12.8853138345211	-13.1554952937923	7.00156053279713	3779.90102704747	1.31956854938065e-17	2.59223735026723e-16
3415	YJR073C	NC_001142.9	572315	572935	-	621	-13.0440015928968	-12.7151938203641	7.02025399255285	3777.8139220613	1.32356724396803e-17	2.59223735026723e-16
2462	YGR185C	NC_001139.9	866336	867520	-	1185	-13.6108285660751	-13.8091810635462	5.96762530531596	3779.05476270055	1.32395359834563e-17	2.59223735026723e-16
4915	YMR314W	NC_001145.3	901709	902413	+	705	-12.4228622134614	-12.5376847186075	7.25926658939605	3774.4532332188	1.33047417153608e-17	2.59223735026723e-16
1478	YDR500C	NC_001136.10;NC_001136.10	1450198;1450847	1450457;1450853	-;-	267	-11.4509879091025	-11.6172710061734	8.0926555842351	3773.60868770135	1.33173312713289e-17	2.59223735026723e-16
3205	YJL127C	NC_001142.9	182298	184220	-	1923	-15.7181247756358	-15.0176553205732	5.21368504265226	3780.85527728978	1.33201820026245e-17	2.59223735026723e-16
1142	YDR172W	NC_001136.10	808324	810381	+	2058	-13.0577312534391	-13.0571144126568	6.8434177185994	3770.1544537306	1.34004713650831e-17	2.59223735026723e-16
1021	YDR056C	NC_001136.10	565023	565640	-	618	-13.1830654596794	-13.5570702526456	6.52170341904655	3765.96546140262	1.34977198369885e-17	2.59223735026723e-16
2717	YHR073W	NC_001140.6	242582	245572	+	2991	-13.5778092374773	-12.7909738814504	6.88073045878188	3765.55579435121	1.3501381700383e-17	2.59223735026723e-16
2575	YHL048W	NC_001140.6	6401	7546	+	1146	-15.4733095583428	-13.7792118231907	5.84572615527988	3768.47216710872	1.35238490875503e-17	2.59223735026723e-16
4043	YLR130C	NC_001144.5	402794	404062	-	1269	-15.1818549359426	-14.8838918456173	5.17131982085046	3768.8187930093	1.35259012882344e-17	2.59223735026723e-16
5837	YOR307C	NC_001147.6	892731	894092	-	1362	-13.8944638386702	-13.7894114501519	6.38729539768341	3763.67851837003	1.35567964224525e-17	2.59223735026723e-16
4888	YMR287C	NC_001145.3	842436	845345	-	2910	-14.1892279062442	-13.5115991259053	6.25338205690628	3763.16571359421	1.35679094031027e-17	2.59223735026723e-16
3435	YNCJ0028C	NC_001142.9	605936	607424	-	1489	-13.200347036575	-14.7862930446029	5.73839464880992	3766.269817289	1.35818199041259e-17	2.59223735026723e-16
4457	YML099C	NC_001145.3	74398	77040	-	2643	-14.1157790687226	-13.8884112115655	6.34865215961849	3760.08232942649	1.36370543763428e-17	2.59223735026723e-16
5397	YOL116W	NC_001147.6	99809	100957	+	1149	-14.6729217140823	-14.2109899532146	5.61314920299462	3759.50119162334	1.36781871060303e-17	2.59223735026723e-16
3010	YIL051C	NC_001141.2	257843	258280	-	438	-12.3354706753148	-13.3751585443548	6.98198043337901	3756.42952079586	1.36995294366864e-17	2.59223735026723e-16
1384	YDR398W	NC_001136.10	1267471	1269402	+	1932	-13.9256520443899	-13.5222288253524	6.20325034967901	3756.49424334209	1.37165753587256e-17	2.59223735026723e-16
3347	YJR006W	NC_001142.9	449202	450665	+	1464	-14.8658833353479	-14.5265137023302	5.22630533226587	3757.70650666077	1.37442311745735e-17	2.59223735026723e-16
3481	YJR135W-A	NC_001142.9	676971	677234	+	264	-13.2303534474214	-13.7158173830115	6.15030093028202	3754.04869561124	1.37797117944524e-17	2.59223735026723e-16
148	YBL067C	NC_001134.8	93639	95882	-	2244	-13.2071151647102	-13.0802583068853	7.00646533698664	3750.51165802175	1.38298045512844e-17	2.59223735026723e-16
1277	YDR302W	NC_001136.10	1067731	1068390	+	660	-14.0904400854277	-14.3278408060188	5.58943088346577	3752.23640599628	1.38342711761343e-17	2.59223735026723e-16
126	YBL090W	NC_001134.8	48825	49358	+	534	-13.4297284606159	-13.294697700373	6.41172334535869	3749.39794401671	1.38662691025676e-17	2.59223735026723e-16
2722	YHR078W	NC_001140.6	256360	258018	+	1659	-14.3091599038224	-14.2056659477492	6.38840087672637	3748.13474504988	1.390945836056e-17	2.59223735026723e-16
5253	YNL011C	NC_001146.8	611836	613170	-	1335	-14.5320496861623	-14.4835087580891	5.72309439369673	3748.64877750545	1.39143502093826e-17	2.59223735026723e-16
3371	YJR032W	NC_001142.9	491081	492262	+	1182	-14.955660148892	-14.6840841153933	5.10065601036838	3750.55146386071	1.39183701289287e-17	2.59223735026723e-16
4437	YML117W	NC_001145.3	34243	37647	+	3405	-11.9027497992011	-12.3745599997738	7.92520880140228	3744.81346951037	1.39433779585976e-17	2.59223735026723e-16
2106	YGL143C	NC_001139.9	234717	235958	-	1242	-13.9953956206019	-14.0002881910833	6.05601221642564	3746.34226717713	1.39446866271868e-17	2.59223735026723e-16
5568	YOR040W	NC_001147.6	407064	407921	+	858	-14.667768779966	-14.208765940656	5.9438731316121	3746.37784216918	1.39603197569182e-17	2.59223735026723e-16
139	YBL075C	NC_001134.8	84499	86448	-	1950	-12.2158798467576	-13.0318344164205	7.53742899283835	3742.43954871987	1.40019125804105e-17	2.59223735026723e-16
3989	YLR077W	NC_001144.5	283872	285623	+	1752	-14.3387766948017	-13.611859816006	6.19474291182376	3743.5200344254	1.40069536797125e-17	2.59223735026723e-16
4436	YML118W	NC_001145.3	32334	33851	+	1518	-14.9911130391263	-14.4351381371332	5.41957745686117	3743.36844289821	1.4058663336736e-17	2.59223735026723e-16
2168	YGL083W	NC_001139.9	353058	355472	+	2415	-14.7930249630613	-14.4910622796465	5.65744722428084	3742.33290672202	1.40662314761694e-17	2.59223735026723e-16
4166	YLR224W	NC_001144.5	586464	587573	+	1110	-14.5720960443115	-13.8223243905441	6.02623558413196	3740.25997478249	1.40915368943334e-17	2.59223735026723e-16
4334	YLR382C	NC_001144.5	882067	884751	-	2685	-13.7747205218382	-13.7388072134008	6.3147835051306	3739.35332240692	1.40944755017289e-17	2.59223735026723e-16
5447	YOL070C	NC_001147.6	197220	198725	-	1506	-14.8458883092793	-14.6142586656674	5.21823128150683	3740.56065006716	1.4128711055636e-17	2.59223735026723e-16
4951	YNL312W	NC_001146.8;NC_001146.8	48287;48402	48293;49216	+;+	822	-14.6471971868001	-14.6910332540334	5.15910756268427	3740.2738904439	1.4141955145865e-17	2.59223735026723e-16
832	YDL132W	NC_001136.10	224304	226751	+	2448	-12.4537029318568	-12.9569840046751	7.15894765153552	3735.34601281845	1.41678588158454e-17	2.59223735026723e-16
4475	YML080W	NC_001145.3	108806	110077	+	1272	-16.4423658750272	-15.2636907104608	4.29856134929659	3755.26157531447	1.41875679024937e-17	2.59223735026723e-16
360	YBR131W	NC_001134.8	497163	499277	+	2115	-15.5594040438991	-15.4352434006954	4.86146394820849	3739.66786398737	1.42415140421165e-17	2.59223735026723e-16
3401	YJR058C	NC_001142.9	544732	545175	-	444	-14.3471273850308	-14.7351221502204	5.53487584704303	3733.39018863751	1.42689259447592e-17	2.59223735026723e-16
4310	YLR360W	NC_001144.5	846103	847422	+	1320	-14.3238859349437	-14.5119323335778	5.60762434428138	3731.3449596567	1.43064789232348e-17	2.59223735026723e-16
1262	YDR286C	NC_001136.10	1035231	1035575	-	345	-15.6075954354142	-15.3148505290978	4.57307204618704	3737.09148668013	1.43296455457788e-17	2.59223735026723e-16
2604	YHL020C	NC_001140.6	66242	67456	-	1215	-14.2936296880272	-13.3105435113964	6.3438128764202	3727.73109827383	1.4366108785021e-17	2.59223735026723e-16
5030	YNL234W	NC_001146.8	210233	211513	+	1281	-12.5382652206388	-13.2718977997292	7.3649129449405	3726.27509140285	1.43753309480045e-17	2.59223735026723e-16
1689	YER065C	NC_001137.3	285241	286914	-	1674	-11.6489875564882	-12.3792542655181	7.57306730810215	3723.92514576164	1.44305265540015e-17	2.59223735026723e-16
1195	YDR222W	NC_001136.10	910054	911301	+	1248	-15.2911531553474	-15.6359218222704	4.96193591046097	3730.78153808681	1.44364781068453e-17	2.59223735026723e-16
5540	YOR014W	NC_001147.6	357674	359947	+	2274	-12.0007992490601	-12.396909260715	7.80450273876921	3722.66581720867	1.44507461234888e-17	2.59223735026723e-16
2489	YGR210C	NC_001139.9	913503	914738	-	1236	-13.7620619830563	-13.7845654509488	6.08021402360271	3722.1297782842	1.44984386452221e-17	2.59223735026723e-16
1763	YER132C	NC_001137.3	425188	430449	-	5262	-14.0353079219596	-13.3482015500979	7.13935238279061	3721.58456650347	1.44994138524248e-17	2.59223735026723e-16
1355	YDR372C	NC_001136.10	1221112	1222149	-	1038	-13.1907607953703	-12.4492171721891	7.06388264933171	3720.55438856657	1.45127664734757e-17	2.59223735026723e-16
4999	YNL267W	NC_001146.8	140878	144078	+	3201	-13.5202620167235	-13.4360217518756	6.66265776019074	3717.91920057325	1.45828169974078e-17	2.59223735026723e-16
6046	YPL165C	NC_001148.4	237956	239077	-	1122	-15.0003616007519	-14.592065713104	5.78427784373292	3719.93123650642	1.45946792757553e-17	2.59223735026723e-16
521	YBR288C	NC_001134.8	778012	779463	-	1452	-14.7817931504212	-14.2687164753946	5.3933676683087	3719.64198738448	1.45998596117262e-17	2.59223735026723e-16
910	YDL052C	NC_001136.10	362672	363583	-	912	-14.233447702799	-14.1547935119214	5.68544464491758	3713.16506756036	1.47296650743746e-17	2.59223735026723e-16
3430	YJR090C	NC_001142.9	590872	594327	-	3456	-13.1462234325357	-13.4746309983965	6.80676441036846	3711.40957657986	1.47350067294722e-17	2.59223735026723e-16
6240	YPR026W	NC_001148.4	615379	619014	+	3636	-11.9692080004057	-13.8937505988332	7.40753814102601	3708.94613548079	1.47855212298585e-17	2.59223735026723e-16
4563	YMR001C	NC_001145.3	269019	271136	-	2118	-13.8038787954027	-14.3325136668506	5.52932557877291	3712.8307834329	1.47976305385311e-17	2.59223735026723e-16
6181	YPL031C	NC_001148.4;NC_001148.4	492018;493021	492918;493037	-;-	918	-13.8019416668141	-13.6149574838767	6.60030718235206	3708.94419305302	1.48018170392937e-17	2.59223735026723e-16
1716	YER087W	NC_001137.3	330576	332306	+	1731	-15.2173233929938	-15.1447191068171	4.99523768698056	3713.43053469666	1.48037510962912e-17	2.59223735026723e-16
3270	YJL063C	NC_001142.9	315759	316475	-	717	-13.2949687849318	-13.7845654509488	6.14625939469469	3707.92881968164	1.48406001074583e-17	2.59223735026723e-16
2598	YHL025W	NC_001140.6	54851	55849	+	999	-13.6702841920108	-14.414872894192	6.13100569804188	3707.45187248932	1.4846577535784e-17	2.59223735026723e-16
1858	YFL048C	NC_001138.5	38843	40180	-	1338	-13.4911232018595	-13.3217948803676	6.44581223068039	3700.44684435472	1.5005094129428e-17	2.59223735026723e-16
3431	YJR091C	NC_001142.9	595061	598336	-	3276	-12.7282142193759	-13.026903095982	7.45736431057249	3699.09546614095	1.50217518973786e-17	2.59223735026723e-16
4708	YMR123W	NC_001145.3	513593	513961	+	369	-14.5308362815896	-14.8748033048785	4.95176616263017	3706.27525394921	1.5025390728962e-17	2.59223735026723e-16
2381	YGR117C	NC_001139.9	725049	726479	-	1431	-15.0255161224553	-14.2346704640163	5.50560763695741	3699.49746587739	1.50895224978937e-17	2.59223735026723e-16
3484	YJR138W	NC_001142.9	684567	689321	+	4755	-12.7449297792065	-13.1906034378333	7.72787470415941	3694.49217369601	1.51380126183273e-17	2.59223735026723e-16
4720	YMR135C	NC_001145.3	538689	540056	-	1368	-13.5923953390374	-13.6723298006651	6.3320310353028	3694.33194068398	1.51585038976659e-17	2.59223735026723e-16
1017	YDR051C	NC_001136.10	557056	558060	-	1005	-13.9918855374996	-13.6070341700039	6.18040199574455	3693.62984962683	1.51833710584081e-17	2.59223735026723e-16
5651	YOR125C	NC_001147.6	559030	559731	-	702	-13.2938092322163	-13.8254248491065	6.40068567930941	3692.80059034387	1.51958704552336e-17	2.59223735026723e-16
1687	YER063W	NC_001137.3	281710	282366	+	657	-12.7514090514385	-12.9936479736425	6.900367128196	3691.64874410988	1.52113511251757e-17	2.59223735026723e-16
3150	YJL181W	NC_001142.9	85660	87495	+	1836	-15.0289361747201	-14.6720467407652	5.4094137344262	3694.59974073913	1.52208617390674e-17	2.59223735026723e-16
6409	YPR188C	NC_001148.4	911988	912479	-	492	-14.5676704690089	-14.452477168668	5.30899712419715	3693.16380499502	1.52464297497259e-17	2.59223735026723e-16
4383	YLR427W	NC_001144.5	988428	990440	+	2013	-13.4226986383664	-14.0093391942996	6.30448960056869	3690.81100955543	1.52481001338952e-17	2.59223735026723e-16
5079	YNL181W	NC_001146.8	298335	299558	+	1224	-12.9566762017787	-13.2642165655794	6.69481402256708	3690.17706045635	1.52534988717417e-17	2.59223735026723e-16
3535	YKL196C	NC_001143.9	74932	75534	-	603	-13.9015628012745	-13.1423684301456	6.40817752780406	3689.55728449462	1.52811126604258e-17	2.59223735026723e-16
3432	YJR092W	NC_001142.9	598735	603078	+	4344	-14.0694907378227	-15.00819943392	5.10890757518066	3694.66435156251	1.53267743239512e-17	2.59223735026723e-16
5979	YPL232W	NC_001148.4	107275	108147	+	873	-12.8080836387614	-13.124347668927	6.89041259597153	3687.03251108901	1.53293009446179e-17	2.59223735026723e-16
5213	YNL046W	NC_001146.8	542304	542822	+	519	-14.9241143688696	-15.6852274332063	4.45401687158491	3697.77664618929	1.53627436123747e-17	2.59223735026723e-16
3058	YIL007C	NC_001141.2	342994	343656	-	663	-14.8947890479009	-14.5570885588299	5.66986057923419	3686.65662859291	1.5401103418258e-17	2.59223735026723e-16
3231	YJL102W	NC_001142.9	231301	233760	+	2460	-11.472552864055	-12.7400929046206	7.64521770575066	3683.70739432434	1.54020465212395e-17	2.59223735026723e-16
1501	YDR524C	NC_001136.10	1487542	1488990	-	1449	-14.226117661348	-14.0295367808903	6.21963136611573	3684.7262849428	1.5409286219338e-17	2.59223735026723e-16
5625	YOR097C	NC_001147.6	506978	507505	-	528	-14.5767688869054	-14.5494379268374	5.47817873424101	3684.05817659234	1.54643658443475e-17	2.59223735026723e-16
1537	YEL062W	NC_001137.3	34407	36254	+	1848	-15.2944559718323	-14.5559605532041	5.754179492909	3683.38268965956	1.55115648500583e-17	2.59223735026723e-16
2632	YHR004C	NC_001140.6	111754	113094	-	1341	-13.9701319182025	-14.0765112419334	6.12235501937935	3680.29791686047	1.55194076437529e-17	2.59223735026723e-16
3119	YJL217W	NC_001142.9	23133	23729	+	597	-14.7305470178462	-21.0023642329908	3.64446256404926	2495.95428055051	1.554700047264e-17	2.59223735026723e-16
4238	YLR292C	NC_001144.5	719789	720370	-	582	-13.9518245058933	-13.3388391699149	6.1684186119167	3679.2411652762	1.55492903261347e-17	2.59223735026723e-16
924	YDL036C	NC_001136.10	387513	388901	-	1389	-15.0411743086504	-14.0906752072764	5.27427612516871	3679.15016706954	1.56306216442592e-17	2.59223735026723e-16
1560	YEL043W	NC_001137.3	70478	73348	+	2871	-13.5513634588159	-14.1257001558653	6.28204525969609	3674.40211376804	1.566366559158e-17	2.59223735026723e-16
3615	YKL113C	NC_001143.9	224727	225875	-	1149	-14.2519537007819	-14.2287960021921	5.61063007452384	3675.08416551024	1.56762550679737e-17	2.59223735026723e-16
1353	YDR370C	NC_001136.10	1217782	1219110	-	1329	-15.6695434120595	-14.7498524915947	5.11212465792971	3678.31672993148	1.57100232859685e-17	2.59223735026723e-16
4296	YLR345W	NC_001144.5	820511	822040	+	1530	-12.4405262699123	-13.1581559113631	7.21053774823225	3671.75426333657	1.57116546446329e-17	2.59223735026723e-16
1306	YDR325W	NC_001136.10	1117126	1120233	+	3108	-14.6775980747875	-14.5073005184925	5.32055081105546	3672.90016268241	1.57559411041466e-17	2.59223735026723e-16
3568	YKL164C	NC_001143.9	141794	142819	-	1026	-10.5370886022204	-13.0072916996025	8.11341713040803	3670.34202555653	1.57629194901025e-17	2.59223735026723e-16
2022	YGL226C-A	NC_001139.9;NC_001139.9	72749;73138	72988;73158	-;-	261	-13.3771221798563	-13.5185845183321	6.34718291155957	3669.79908365296	1.57799901967888e-17	2.59223735026723e-16
6318	YPR107C	NC_001148.4	741438	742064	-	627	-14.8224335235891	-14.5474689099055	5.15709994328933	3672.68262606525	1.57880059587449e-17	2.59223735026723e-16
5939	YPL268W	NC_001148.4	35236	37845	+	2610	-13.8211671586943	-13.7430762800343	6.34891877303021	3668.59495898385	1.58134499655335e-17	2.59223735026723e-16
4042	YLR129W	NC_001144.5	399657	402488	+	2832	-14.5252274994787	-14.0475198302103	5.67366448734981	3668.45315817874	1.58490373421031e-17	2.59223735026723e-16
796	YDL170W	NC_001136.10	156318	157904	+	1587	-13.1946807151299	-13.4673478527368	6.85500691795054	3666.46620499218	1.58554266120041e-17	2.59223735026723e-16
6130	YPL082C	NC_001148.4	398480	404083	-	5604	-12.2255858440486	-12.2407430820241	7.93408292210215	3665.71243052374	1.58603119360697e-17	2.59223735026723e-16
3932	YLR020C	NC_001144.5	181789	183405	-	1617	-15.2324561635785	-13.9953569535386	5.50746859804461	3668.97413392613	1.58799851080038e-17	2.59223735026723e-16
507	YBR273C	NC_001134.8	748061	749371	-	1311	-13.3008530426709	-13.6246742454076	6.50235487473495	3664.06823973449	1.59230483078662e-17	2.59223735026723e-16
2157	YGL093W	NC_001139.9	334886	337639	+	2754	-13.7815648802001	-14.1270407681217	6.06501994325743	3663.41574356105	1.59591208919578e-17	2.59223735026723e-16
4536	YML025C	NC_001145.3;NC_001145.3	224406;225339	225239;225365	-;-	861	-12.6828829634956	-13.1632111252789	6.87198595724044	3662.22059766808	1.59659980715269e-17	2.59223735026723e-16
6275	YPR063C	NC_001148.4;NC_001148.4	677812;678280	678193;678320	-;-	423	-14.0494679461597	-13.6980836033497	6.03144456181955	3661.68912862576	1.60047606090582e-17	2.59223735026723e-16
2818	YHR166C	NC_001140.6	437170	439050	-	1881	-14.7927033518317	-14.6715782379739	5.18781002156157	3663.81035406166	1.60095503341523e-17	2.59223735026723e-16
6110	YPL101W	NC_001148.4	360209	361579	+	1371	-15.0316071586829	-14.8775566572988	5.23838681989201	3663.85714832462	1.60213051352395e-17	2.59223735026723e-16
3227	YJL105W	NC_001142.9	225055	226737	+	1683	-16.3114554634828	-15.960774205059	4.3497122768793	3673.23858222209	1.61582354620275e-17	2.59223735026723e-16
6346	YPR134W	NC_001148.4	798051	798857	+	807	-15.5369403861803	-15.0521005700818	4.94435911382877	3660.21657327369	1.61787658958272e-17	2.59223735026723e-16
4545	YML016C	NC_001145.3	239458	241536	-	2079	-12.9784389566541	-13.3429113370048	6.99502886706018	3652.36616278018	1.62236045461752e-17	2.59223735026723e-16
5790	YOR264W	NC_001147.6	818866	820158	+	1293	-13.7204705706918	-15.2825811825642	5.2723708473965	3657.62466570749	1.62552325324424e-17	2.59223735026723e-16
6394	YPR172W	NC_001148.4	885796	886398	+	603	-14.3600090644304	-15.0085433696651	5.25995535894901	3653.40322911861	1.62794996975073e-17	2.59223735026723e-16
1340	YDR361C	NC_001136.10	1195412	1196263	-	852	-13.1984160571578	-13.7759055062957	6.40307625176962	3650.67857307266	1.62815537678751e-17	2.59223735026723e-16
4805	YMR212C	NC_001145.3	690695	693043	-	2349	-14.5773797628538	-13.98459789854	5.78306804461102	3651.7716292674	1.62852278354512e-17	2.59223735026723e-16
1686	YER062C	NC_001137.3	279930	280682	-	753	-12.3005475825168	-13.4160569050617	7.47925415312157	3646.25232322142	1.63837848186375e-17	2.59223735026723e-16
595	YCL011C	NC_001135.5	102075	103358	-	1284	-13.429455489097	-13.7566625698957	6.49171554582089	3646.56540151775	1.63918681804954e-17	2.59223735026723e-16
464	YBR231C	NC_001134.8	682179	683090	-	912	-14.9097852572518	-15.8678684380698	4.77694715536782	3648.81485292412	1.65220353238585e-17	2.59223735026723e-16
602	YCL004W	NC_001135.5	109105	110670	+	1566	-15.1353531704407	-15.3033447431169	5.05142620343036	3645.04157369055	1.65587130021751e-17	2.59223735026723e-16
502	YBR268W	NC_001134.8	741299	741616	+	318	-13.1159415063795	-13.667953878972	6.26547791462104	3640.16093648864	1.6580862853076e-17	2.59223735026723e-16
637	YCR024C	NC_001135.5	160744	162222	-	1479	-16.0423599630417	-15.3787836243026	4.57609770530658	3649.88616408649	1.6597413959156e-17	2.59223735026723e-16
1800	YER158C	NC_001137.3	488857	490578	-	1722	-12.4805852580611	-12.5389218864309	7.91628978956364	3636.96924626412	1.66309172195185e-17	2.59223735026723e-16
3766	YKR028W	NC_001143.9	494257	497358	+	3102	-13.6829236233902	-13.186228460871	6.76997045801618	3636.08186969561	1.66750707426006e-17	2.59223735026723e-16
876	YDL086W	NC_001136.10	301413	302234	+	822	-13.5525684484789	-14.1502916738884	6.37999200416648	3634.6925190791	1.6723007487371e-17	2.59223735026723e-16
1112	YDR143C	NC_001136.10	742042	743874	-	1833	-14.0369237960643	-14.613248436613	5.76155996706958	3635.58034097994	1.67269602514042e-17	2.59223735026723e-16
1725	YER094C	NC_001137.3	348729	349346	-	618	-11.9932360046783	-12.334757614129	7.61790040865898	3630.42177439776	1.68124213251871e-17	2.59223735026723e-16
4020	YLR107W	NC_001144.5	364116	365330	+	1215	-14.6594056941422	-14.2591920495801	5.71094036185911	3632.26242446022	1.68264905249669e-17	2.59223735026723e-16
1001	YDR035W	NC_001136.10	521816	522928	+	1113	-12.706954197685	-12.0621512868901	7.58343386359317	3628.13027089824	1.68784666233064e-17	2.59223735026723e-16
2650	YHR017W	NC_001140.6	138694	139851	+	1158	-13.7624257121608	-13.7228128413134	6.1319354454282	3627.7332131926	1.69237550361499e-17	2.59223735026723e-16
3279	YJL055W	NC_001142.9	333357	334094	+	738	-12.2406611148194	-12.709769042608	7.48517579287619	3626.41397929822	1.69249528753321e-17	2.59223735026723e-16
341	YBR111C	NC_001134.8	461178	461873	-	696	-11.9341272277407	-12.5716060203	7.86795906271435	3624.71907497552	1.69686077796729e-17	2.59223735026723e-16
4553	YML008C	NC_001145.3	251839	252990	-	1152	-14.6370284389778	-14.1856392556595	5.70646519305255	3626.46471063431	1.69874341760016e-17	2.59223735026723e-16
5067	YNL193W	NC_001146.8	274368	276044	+	1677	-12.8564503729019	-13.7971957101278	6.55430333373427	3624.54459176636	1.69992149989974e-17	2.59223735026723e-16
2988	YIL074C	NC_001141.2	221081	222490	-	1410	-12.4801046907024	-12.839043686643	6.95867997180388	3623.79050329164	1.70128095900592e-17	2.59223735026723e-16
1996	YGL252C	NC_001139.9	25718	27484	-	1767	-12.758054581969	-12.6690808133422	7.34742219836519	3620.79092991268	1.70861348375623e-17	2.59223735026723e-16
5864	YOR338W	NC_001147.6	956898	957989	+	1092	-12.8046988829165	-13.6072343438535	6.8249064781857	3619.99721770639	1.71217926369555e-17	2.59223735026723e-16
5829	YOR299W	NC_001147.6	878435	880675	+	2241	-14.2818894054288	-13.9275957201303	6.07081581049447	3619.60368202807	1.7159574166528e-17	2.59223735026723e-16
