# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "/scratch/lukens/Assignment_2_Genome/genomic.gtf" "-o" "featureGenecount.txt" "SRR10551657.fastqAligned.out.sorted.bam" "SRR10551658.fastqAligned.out.sorted.bam" "SRR10551659.fastqAligned.out.sorted.bam" "SRR10551660.fastqAligned.out.sorted.bam" "SRR10551661.fastqAligned.out.sorted.bam" "SRR10551662.fastqAligned.out.sorted.bam" "SRR10551663.fastqAligned.out.sorted.bam" "SRR10551664.fastqAligned.out.sorted.bam" "SRR10551665.fastqAligned.out.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10551657.fastqAligned.out.sorted.bam	SRR10551658.fastqAligned.out.sorted.bam	SRR10551659.fastqAligned.out.sorted.bam	SRR10551660.fastqAligned.out.sorted.bam	SRR10551661.fastqAligned.out.sorted.bam	SRR10551662.fastqAligned.out.sorted.bam	SRR10551663.fastqAligned.out.sorted.bam	SRR10551664.fastqAligned.out.sorted.bam	SRR10551665.fastqAligned.out.sorted.bam
YDR103W	NC_001136.10	658350	661103	+	2754	34	18	25	62	92	29	56	61	63
YDR104C	NC_001136.10	661173	664910	-	3738	76	74	59	158	134	90	108	121	127
YDR105C	NC_001136.10	665349	666770	-	1422	105	91	135	217	147	149	222	227	213
YDR106W	NC_001136.10	667004	667858	+	855	12	6	9	10	9	4	5	7	6
YNCD0015C	NC_001136.10	668007	668080	-	74	1	0	1	0	0	0	1	1	0
YDR107C	NC_001136.10	669016	671034	-	2019	22	30	28	77	39	53	70	66	76
YDR108W	NC_001136.10	671269	673365	+	2097	35	28	21	123	72	56	75	81	57
YDR109C	NC_001136.10	673520	675667	-	2148	53	18	33	86	77	35	70	68	86
YDR110W	NC_001136.10	676102	677802	+	1701	32	28	28	118	93	35	65	107	99
YDR111C	NC_001136.10	678241	679764	-	1524	43	35	31	37	29	19	46	46	41
YDR113C	NC_001136.10	680496	681617	-	1122	36	22	19	64	55	14	25	25	29
YDR114C	NC_001136.10	681924	682226	-	303	4	0	4	0	4	1	2	1	4
YDR115W	NC_001136.10	682175	682492	+	318	89	67	71	89	98	41	37	65	43
YDR116C	NC_001136.10	682724	683581	-	858	208	147	138	193	223	105	83	106	114
YDR117C	NC_001136.10	683946	685643	-	1698	77	39	54	97	75	31	47	68	64
YDR118W	NC_001136.10	685882	687840	+	1959	24	14	21	55	46	36	46	65	74
YDR119W	NC_001136.10	688227	690533	+	2307	56	32	32	148	82	82	163	227	227
YDR119W-A	NC_001136.10	691014	691214	+	201	3300	2596	2928	1474	2013	761	1712	2123	2102
YDR120C	NC_001136.10	691549	693261	-	1713	145	77	100	199	163	72	94	111	123
YDR121W	NC_001136.10	693585	694175	+	591	86	64	52	58	59	28	29	56	46
YDR122W	NC_001136.10	694700	697894	+	3195	205	140	159	203	222	111	287	370	358
YDR123C	NC_001136.10	698554	699468	-	915	9	10	9	56	45	37	58	69	51
YDR124W	NC_001136.10	700315	701289	+	975	33	33	28	36	42	18	35	44	26
YDR125C	NC_001136.10	701397	702758	-	1362	38	27	33	59	31	28	41	44	49
YDR126W	NC_001136.10	703234	704244	+	1011	44	19	34	69	80	38	30	27	30
YDR127W	NC_001136.10	704484	709250	+	4767	398	266	317	453	353	400	267	305	271
YDR128W	NC_001136.10	709549	712995	+	3447	77	69	57	142	124	71	134	201	165
YDR129C	NC_001136.10;NC_001136.10	713340;715359	715247;715379	-;-	1929	496	423	505	497	334	325	415	507	458
YDR130C	NC_001136.10	715747	716622	-	876	29	29	16	54	48	16	42	53	46
YDR131C	NC_001136.10	716790	718460	-	1671	22	18	18	72	55	12	55	76	91
YDR132C	NC_001136.10	718816	720303	-	1488	40	15	13	106	87	58	56	65	67
YDR134C	NC_001136.10	721071	721481	-	411	1058	637	685	1453	1139	836	705	820	740
YDR135C	NC_001136.10	723004	727551	-	4548	342	213	226	1665	892	1125	488	537	593
YDR137W	NC_001136.10	728259	730250	+	1992	36	25	32	141	79	60	85	102	92
YDR138W	NC_001136.10	730578	732836	+	2259	71	42	51	122	69	40	71	86	94
YDR139C	NC_001136.10;NC_001136.10	733618;733776	733702;733924	-;-	234	121	93	71	143	152	33	58	88	90
YDR140W	NC_001136.10	734138	734803	+	666	55	40	48	90	87	58	71	78	100
YDR141C	NC_001136.10	734901	739997	-	5097	123	92	107	231	136	121	241	272	262
YDR142C	NC_001136.10	740473	741600	-	1128	32	25	21	51	30	33	48	43	29
YDR143C	NC_001136.10	742042	743874	-	1833	85	65	77	77	78	44	94	92	100
YDR144C	NC_001136.10	744311	746101	-	1791	45	27	26	77	44	31	8	14	11
YDR145W	NC_001136.10	746738	748357	+	1620	171	115	119	157	178	42	69	92	108
YDR146C	NC_001136.10	748613	750742	-	2130	49	39	45	47	27	17	3	1	2
YDR147W	NC_001136.10	751631	753235	+	1605	33	19	26	52	39	19	69	72	56
YDR148C	NC_001136.10	753675	755066	-	1392	1190	842	998	1070	847	585	567	573	545
YDR150W	NC_001136.10	755628	763874	+	8247	1477	1100	1114	1162	1379	314	878	1072	1171
YDR151C	NC_001136.10	764178	765155	-	978	118	91	120	145	168	69	110	117	109
YDR152W	NC_001136.10	765706	766503	+	798	102	51	71	155	175	62	63	70	68
YDR153C	NC_001136.10	766736	767971	-	1236	207	135	139	109	153	44	90	103	105
YDR155C	NC_001136.10	768512	769000	-	489	2097	1414	1701	1162	1093	709	875	1025	916
YDR156W	NC_001136.10	769525	769938	+	414	17	10	10	13	15	22	4	8	6
YDR157W	NC_001136.10	769931	770332	+	402	16	16	8	2	9	2	5	7	7
YDR158W	NC_001136.10	770357	771454	+	1098	389	287	297	462	320	330	288	320	293
YDR159W	NC_001136.10	771877	775782	+	3906	325	205	231	240	305	78	187	235	224
YDR160W	NC_001136.10	776163	778721	+	2559	56	26	30	161	117	69	70	89	89
YDR161W	NC_001136.10	779043	780206	+	1164	55	25	23	101	64	51	68	69	72
YDR162C	NC_001136.10	780390	781100	-	711	40	13	32	118	83	33	35	42	67
YDR163W	NC_001136.10	781423	781950	+	528	111	67	76	65	123	11	38	42	66
YDR164C	NC_001136.10	782041	784215	-	2175	49	32	34	114	66	45	75	104	66
YDR165W	NC_001136.10	784871	786205	+	1335	45	33	33	85	63	27	46	65	62
YDR166C	NC_001136.10	786306	789221	-	2916	156	83	97	197	184	52	200	179	207
YDR167W	NC_001136.10	789449	790069	+	621	128	94	122	171	121	72	53	67	77
YDR168W	NC_001136.10	790328	791848	+	1521	245	168	180	306	259	67	186	214	259
YDR169C	NC_001136.10	792348	793889	-	1542	134	82	105	90	131	36	160	166	158
YDR169C-A	NC_001136.10	794574	794723	-	150	0	2	0	3	2	3	3	3	2
YDR170C	NC_001136.10	796193	802222	-	6030	496	348	396	748	586	348	536	704	713
YNCD0016C	NC_001136.10	802731	802802	-	72	1	0	0	0	1	0	1	0	1
YDR170W-A	NC_001136.10	803195	804517	+	1323	7	4	5	13	8	3	16	17	17
YDR171W	NC_001136.10	806621	807748	+	1128	5810	4341	5064	1295	2587	520	630	797	812
YDR172W	NC_001136.10	808324	810381	+	2058	185	120	147	266	221	113	136	192	182
YDR173C	NC_001136.10	810565	811632	-	1068	217	161	197	100	154	37	121	168	150
YDR174W	NC_001136.10	812110	812850	+	741	681	451	481	310	346	117	115	134	129
YDR175C	NC_001136.10	813193	814152	-	960	79	46	54	130	97	77	48	59	69
YDR176W	NC_001136.10	814452	816560	+	2109	174	112	123	141	181	24	86	112	133
YDR177W	NC_001136.10	816878	817525	+	648	440	370	371	361	403	140	162	201	206
YDR178W	NC_001136.10	817950	818495	+	546	847	648	735	1430	1138	1193	727	731	635
YDR179C	NC_001136.10	818708	819196	-	489	56	28	26	34	48	13	16	20	29
YDR179W-A	NC_001136.10	819433	820824	+	1392	28	13	13	57	34	32	40	41	46
YDR180W	NC_001136.10	821295	825776	+	4482	69	41	61	152	86	69	74	104	115
YDR181C	NC_001136.10	825910	827355	-	1446	85	57	49	117	89	25	48	61	67
YDR182W	NC_001136.10	827582	829057	+	1476	167	103	101	233	163	130	186	189	178
YDR182W-A	NC_001136.10	829151	829354	+	204	23	13	10	8	7	4	17	15	10
YDR183W	NC_001136.10	829585	830277	+	693	30	20	19	44	39	21	21	20	23
YDR184C	NC_001136.10	830629	831513	-	885	47	22	21	94	60	15	28	37	43
YDR185C	NC_001136.10	831934	832473	-	540	61	38	70	62	62	31	49	44	49
YDR186C	NC_001136.10	832859	835492	-	2634	510	382	422	476	429	162	463	515	571
YDR188W	NC_001136.10	836421	838061	+	1641	304	201	246	326	266	206	198	241	187
YDR189W	NC_001136.10	838392	840392	+	2001	105	63	60	167	167	53	96	102	125
YDR190C	NC_001136.10	840604	841995	-	1392	119	101	72	221	180	103	132	137	175
YDR191W	NC_001136.10	842337	843449	+	1113	10	13	14	25	27	16	14	15	17
YDR192C	NC_001136.10	843569	844861	-	1293	16	10	10	36	26	20	26	47	33
YDR194C	NC_001136.10	845952	847946	-	1995	651	402	413	746	567	182	276	314	331
YDR194W-A	NC_001136.10	848071	848223	+	153	2	1	1	0	0	1	0	0	0
YDR195W	NC_001136.10	848599	850200	+	1602	166	122	133	123	147	41	89	132	108
YDR196C	NC_001136.10	850274	850999	-	726	184	133	134	166	159	61	96	137	152
YDR197W	NC_001136.10	851228	852397	+	1170	123	97	83	102	94	43	69	92	71
YDR198C	NC_001136.10	852533	853972	-	1440	29	16	8	48	45	16	27	34	45
YDR200C	NC_001136.10	854279	856093	-	1815	264	228	265	98	208	23	89	103	129
YDR201W	NC_001136.10	856317	856814	+	498	26	17	18	52	42	21	10	14	20
YDR202C	NC_001136.10	856898	857953	-	1056	115	101	106	122	86	25	83	110	107
YDR204W	NC_001136.10	858137	859144	+	1008	158	121	131	117	109	90	117	131	137
YDR205W	NC_001136.10	859346	861520	+	2175	70	37	42	112	81	90	113	124	107
YDR206W	NC_001136.10	862054	864708	+	2655	52	43	39	125	78	49	126	168	132
YDR207C	NC_001136.10	865012	867522	-	2511	62	53	44	69	114	22	79	92	110
YDR208W	NC_001136.10	868224	870563	+	2340	281	191	205	289	251	133	305	358	342
YDR209C	NC_001136.10	871036	871449	-	414	24	21	12	43	37	8	11	14	18
YDR210W	NC_001136.10	871074	871301	+	228	0	0	0	0	0	0	0	0	0
YDR210W-B	NC_001136.10	872112	877425	+	5314	0	0	0	0	0	0	0	0	1
YDR210W-A	NC_001136.10	872112	873428	+	1317	0	0	0	0	0	0	0	0	0
YDR210C-D	NC_001136.10	878659	883927	-	5269	1	1	0	1	1	0	0	0	0
YDR210C-C	NC_001136.10	882605	883927	-	1323	0	0	0	0	0	0	0	0	0
YNCD0017W	NC_001136.10;NC_001136.10	884361;884458	884397;884493	+;+	73	1	2	1	1	1	1	0	0	1
YDR211W	NC_001136.10	884727	886865	+	2139	189	133	122	374	212	143	156	185	203
YDR212W	NC_001136.10	887232	888911	+	1680	227	169	191	248	207	180	147	198	175
YDR213W	NC_001136.10	889751	892492	+	2742	62	53	37	81	47	27	88	105	87
YDR214W	NC_001136.10	892875	893927	+	1053	315	246	290	291	243	170	169	202	195
YDR215C	NC_001136.10	894089	894502	-	414	23	14	20	11	6	10	17	24	13
YDR216W	NC_001136.10	895035	899006	+	3972	563	421	481	473	420	284	371	417	263
YDR217C	NC_001136.10	899551	903480	-	3930	183	120	110	229	226	49	137	201	183
YDR218C	NC_001136.10	903781	905052	-	1272	8	7	14	16	25	6	5	9	6
YDR219C	NC_001136.10	905455	906852	-	1398	268	199	198	145	175	37	94	124	122
YDR221W	NC_001136.10	907330	909438	+	2109	41	45	36	87	53	64	97	88	100
YDR222W	NC_001136.10	910054	911301	+	1248	41	28	27	37	43	19	61	77	76
YDR223W	NC_001136.10	912099	913502	+	1404	66	32	37	75	75	43	201	278	246
YDR224C	NC_001136.10	914317	914712	-	396	1405	891	891	892	799	298	439	457	577
YDR225W	NC_001136.10	915530	915928	+	399	828	558	586	812	511	590	245	283	245
YDR226W	NC_001136.10	916486	917154	+	669	521	309	310	938	623	494	285	335	312
YDR227W	NC_001136.10	917571	921647	+	4077	313	237	251	240	333	70	181	269	262
YDR228C	NC_001136.10	921926	923806	-	1881	105	65	52	101	95	31	63	99	111
YDR229W	NC_001136.10	924785	926146	+	1362	130	101	99	87	111	21	52	62	78
YDR231C	NC_001136.10	926293	926910	-	618	582	437	481	357	509	191	176	233	199
YDR232W	NC_001136.10	927452	929098	+	1647	585	419	456	438	517	290	305	329	292
YDR233C	NC_001136.10	929470	930357	-	888	600	328	371	559	464	253	307	413	340
YDR234W	NC_001136.10	931129	933210	+	2082	113	78	87	231	142	167	99	102	104
YDR235W	NC_001136.10	933504	935138	+	1635	58	43	31	97	58	15	51	59	59
YDR236C	NC_001136.10	935236	935892	-	657	44	21	23	53	41	39	53	53	57
YDR237W	NC_001136.10	936615	937493	+	879	180	118	126	194	170	93	78	83	86
YDR238C	NC_001136.10	937895	940816	-	2922	333	239	237	605	350	312	390	455	436
YDR239C	NC_001136.10	941057	943420	-	2364	119	62	78	66	69	29	74	83	91
YDR240C	NC_001136.10	943674	945152	-	1479	30	27	20	66	30	34	33	51	39
YNCD0018W	NC_001136.10;NC_001136.10	946312;946365	946350;946400	+;+	75	2	4	0	1	0	0	0	1	0
YDR242W	NC_001136.10	946807	948456	+	1650	110	73	67	115	110	69	250	345	299
YDR243C	NC_001136.10	948518	950284	-	1767	45	34	41	66	50	30	97	122	128
YDR244W	NC_001136.10	950563	952401	+	1839	213	129	149	208	154	74	168	197	183
YDR245W	NC_001136.10	952800	953981	+	1182	136	101	119	233	142	126	148	169	178
YDR246W	NC_001136.10	954288	954947	+	660	99	79	87	89	91	35	100	151	118
YDR246W-A	NC_001136.10	955133	955333	+	201	10	4	3	1	7	3	7	6	11
YDR247W	NC_001136.10	956013	957398	+	1386	353	293	333	213	351	129	415	460	437
YDR248C	NC_001136.10	957758	958339	-	582	104	59	73	160	132	50	87	127	126
YDR249C	NC_001136.10	958681	959802	-	1122	41	23	29	89	65	65	75	68	70
YDR251W	NC_001136.10	960614	963106	+	2493	414	282	344	274	258	134	216	246	232
YDR252W	NC_001136.10	963412	963861	+	450	33	15	18	6	11	4	9	14	3
YDR253C	NC_001136.10	963990	964565	-	576	679	514	579	63	134	7	20	20	31
YDR254W	NC_001136.10	965113	966489	+	1377	191	153	168	109	129	55	129	156	157
YDR255C	NC_001136.10	966557	967822	-	1266	251	191	209	186	152	64	149	175	169
YDR256C	NC_001136.10	968133	969680	-	1548	63	47	40	68	82	54	93	97	87
YDR257C	NC_001136.10	969990	971474	-	1485	36	20	34	85	54	30	33	25	33
YDR258C	NC_001136.10	971808	974243	-	2436	8122	6483	7380	2189	3138	815	755	1088	1048
YDR259C	NC_001136.10	974631	975782	-	1152	249	157	184	115	220	37	37	33	41
YDR260C	NC_001136.10	976717	977229	-	513	34	22	20	73	66	42	37	39	26
YDR261C	NC_001136.10	977521	979209	-	1689	175	117	107	237	137	167	108	88	113
YNCD0019C	NC_001136.10	980974	981055	-	82	7	3	6	0	0	2	1	1	2
YDR261W-B	NC_001136.10	981462	986775	+	5314	4	1	3	7	3	4	16	17	16
YDR261W-A	NC_001136.10	981462	982778	+	1317	0	0	0	0	0	0	0	0	0
YDR261C-D	NC_001136.10	987534	992349	-	4816	6	1	1	3	4	0	1	4	1
YDR261C-C	NC_001136.10	991027	992349	-	1323	0	0	0	0	0	0	0	0	0
YNCD0020W	NC_001136.10	992832	992902	+	71	0	0	0	1	0	0	0	0	0
YDR262W	NC_001136.10	993134	993952	+	819	175	92	143	163	158	112	329	351	315
YDR263C	NC_001136.10	994242	995534	-	1293	34	30	31	36	47	18	59	56	50
YDR264C	NC_001136.10	996029	998323	-	2295	56	42	35	161	74	113	149	158	146
YDR265W	NC_001136.10	998864	999877	+	1014	29	20	27	65	66	30	49	52	69
YDR266C	NC_001136.10	1000104	1002023	-	1920	111	85	56	174	134	59	137	130	166
YDR267C	NC_001136.10	1002510	1003502	-	993	24	16	18	91	61	42	34	37	47
YDR268W	NC_001136.10	1004004	1005143	+	1140	30	16	23	70	47	23	17	51	35
YDR270W	NC_001136.10	1005675	1008689	+	3015	74	57	59	176	120	102	201	226	216
YDR272W	NC_001136.10	1009010	1009834	+	825	406	282	285	227	280	81	264	316	343
YDR273W	NC_001136.10	1010176	1011273	+	1098	217	179	264	32	72	12	115	138	96
YDR274C	NC_001136.10	1011589	1011960	-	372	8	7	4	3	11	4	21	18	17
YDR275W	NC_001136.10	1012252	1012959	+	708	144	79	99	138	137	50	178	200	211
YDR276C	NC_001136.10	1013476	1013643	-	168	1660	1269	1311	1168	1149	659	1007	1062	1022
YDR277C	NC_001136.10	1014401	1015702	-	1302	105	81	81	116	102	65	190	199	152
YNCD0021C	NC_001136.10	1017207	1017278	-	72	0	1	4	1	0	0	0	0	0
YDR279W	NC_001136.10	1019368	1020420	+	1053	30	25	23	51	47	18	41	37	50
YDR280W	NC_001136.10	1020747	1021664	+	918	78	41	39	111	85	55	63	65	62
YDR281C	NC_001136.10	1022007	1022321	-	315	6	4	6	10	13	6	41	40	30
YDR282C	NC_001136.10	1023511	1024755	-	1245	13	10	10	43	37	25	31	40	48
YDR283C	NC_001136.10	1025070	1030049	-	4980	282	190	234	350	305	183	342	365	384
YDR284C	NC_001136.10	1030550	1031419	-	870	152	97	83	307	212	154	239	311	294
YDR285W	NC_001136.10	1032436	1035063	+	2628	48	28	28	51	86	7	38	36	57
YDR286C	NC_001136.10	1035231	1035575	-	345	32	20	25	50	50	24	31	36	42
YDR287W	NC_001136.10	1035995	1036873	+	879	20	17	20	41	23	19	43	47	44
YDR288W	NC_001136.10	1037195	1038106	+	912	46	30	27	67	54	28	67	74	69
YDR289C	NC_001136.10	1038280	1039509	-	1230	119	103	90	128	151	21	47	71	73
YDR291W	NC_001136.10	1039728	1042961	+	3234	70	62	43	167	105	91	123	163	129
YDR292C	NC_001136.10	1043146	1045011	-	1866	65	46	46	144	99	72	63	104	100
YDR293C	NC_001136.10	1045640	1049392	-	3753	1091	691	800	1009	777	650	1934	2072	1931
YDR294C	NC_001136.10	1050459	1052228	-	1770	234	183	219	307	194	176	148	151	149
YDR295C	NC_001136.10	1052623	1054647	-	2025	151	108	113	166	202	42	65	102	113
YDR296W	NC_001136.10	1055212	1055892	+	681	246	151	207	203	264	78	64	99	86
YDR297W	NC_001136.10	1056551	1057600	+	1050	379	257	278	537	465	266	315	328	342
YDR298C	NC_001136.10	1058176	1058814	-	639	720	487	529	1132	896	648	465	461	452
YDR299W	NC_001136.10	1059627	1061231	+	1605	117	71	89	202	216	32	28	58	52
YDR300C	NC_001136.10	1061505	1062791	-	1287	60	35	22	109	78	40	70	68	65
YDR301W	NC_001136.10	1063352	1067425	+	4074	89	77	73	169	151	85	138	177	155
YDR302W	NC_001136.10	1067731	1068390	+	660	84	65	70	104	101	44	54	56	59
YDR303C	NC_001136.10	1068729	1071386	-	2658	54	31	25	147	102	34	71	65	92
YDR304C	NC_001136.10	1071880	1072557	-	678	289	189	228	440	387	271	283	310	296
YDR305C	NC_001136.10;NC_001136.10	1072746;1073402	1073312;1073488	-;-	654	69	50	64	65	95	37	56	69	81
YDR306C	NC_001136.10	1073735	1075171	-	1437	264	176	208	215	252	72	204	217	268
YNCD0022C	NC_001136.10	1075472	1075544	-	73	2	1	0	1	0	1	0	1	0
YDR307W	NC_001136.10	1075865	1077853	+	1989	76	54	65	161	86	70	104	123	125
YDR308C	NC_001136.10	1078027	1078449	-	423	34	19	14	53	50	10	10	13	22
YDR309C	NC_001136.10	1079048	1080199	-	1152	133	64	68	110	120	52	94	99	94
YDR310C	NC_001136.10	1081128	1084316	-	3189	230	148	151	230	206	83	214	287	278
YDR311W	NC_001136.10	1085065	1086993	+	1929	119	71	84	145	145	47	88	115	117
YDR312W	NC_001136.10	1087581	1088942	+	1362	85	44	52	116	126	42	51	58	73
YDR313C	NC_001136.10	1089219	1090079	-	861	205	133	159	250	251	149	287	291	289
YDR314C	NC_001136.10	1090433	1092511	-	2079	35	21	17	75	54	46	112	119	108
YDR315C	NC_001136.10	1092741	1093586	-	846	29	22	21	61	65	20	48	64	62
YDR316W	NC_001136.10	1093763	1095178	+	1416	270	192	203	333	496	63	112	144	149
YNCD0023C	NC_001136.10;NC_001136.10	1095370;1095425	1095405;1095461	-;-	73	1	0	0	0	0	0	0	0	0
YDR316W-B	NC_001136.10	1096064	1101332	+	5269	2	2	0	1	1	0	0	2	2
YDR316W-A	NC_001136.10	1096064	1097386	+	1323	0	0	0	0	0	0	0	0	0
YDR317W	NC_001136.10	1102184	1103428	+	1245	40	18	15	32	44	21	65	59	51
YDR318W	NC_001136.10;NC_001136.10	1103758;1103893	1103809;1104947	+;+	1107	87	46	43	108	125	44	38	64	75
YDR319C	NC_001136.10	1105003	1105827	-	825	46	27	29	43	44	20	70	75	69
YDR320C	NC_001136.10	1106095	1108101	-	2007	107	81	102	87	129	39	66	41	44
YDR320C-A	NC_001136.10	1108280	1108498	-	219	198	135	171	150	152	57	29	44	80
YDR321W	NC_001136.10	1108702	1109847	+	1146	26	18	12	49	33	28	21	32	20
YDR322W	NC_001136.10	1110589	1111692	+	1104	178	112	158	258	204	91	120	132	128
YDR322C-A	NC_001136.10	1112003	1112293	-	291	863	599	784	991	991	468	242	322	313
YDR323C	NC_001136.10	1112480	1114027	-	1548	53	39	51	48	59	24	44	46	67
YDR324C	NC_001136.10	1114433	1116763	-	2331	54	41	29	130	88	54	31	49	55
YDR325W	NC_001136.10	1117126	1120233	+	3108	58	46	42	84	85	46	45	60	63
YDR326C	NC_001136.10	1120609	1124925	-	4317	164	128	122	300	236	94	277	318	356
YDR328C	NC_001136.10	1125434	1126018	-	585	144	107	120	201	187	97	112	147	174
YDR329C	NC_001136.10	1126270	1127595	-	1326	280	223	241	216	200	103	154	139	151
YDR330W	NC_001136.10	1127872	1129374	+	1503	159	101	95	99	96	43	94	98	103
YDR331W	NC_001136.10	1129588	1130823	+	1236	67	53	53	107	85	62	58	59	66
YDR332W	NC_001136.10	1131001	1133070	+	2070	58	37	33	59	50	19	62	83	62
YDR333C	NC_001136.10	1133260	1135431	-	2172	124	59	86	121	111	61	86	107	99
YDR334W	NC_001136.10	1135932	1140476	+	4545	295	213	240	188	193	83	201	295	254
YDR335W	NC_001136.10	1141168	1144842	+	3675	455	390	397	481	509	270	327	430	374
YDR336W	NC_001136.10	1145092	1146036	+	945	76	37	59	55	56	20	29	33	51
YDR337W	NC_001136.10	1146319	1147179	+	861	181	132	120	235	241	75	65	96	112
YDR338C	NC_001136.10	1147379	1149466	-	2088	67	36	43	110	67	85	172	200	207
YDR339C	NC_001136.10	1149951	1150520	-	570	117	72	68	116	124	30	56	68	80
YNCD0024C	NC_001136.10	1150842	1150941	-	100	2	2	0	1	1	2	0	1	0
YDR341C	NC_001136.10	1151803	1153626	-	1824	259	149	142	511	317	259	238	267	246
YDR342C	NC_001136.10	1154216	1155928	-	1713	854	740	892	111	158	74	147	159	169
YDR343C	NC_001136.10	1159608	1161320	-	1713	578	497	571	4	21	4	21	18	18
YDR344C	NC_001136.10	1162006	1162449	-	444	8	4	2	4	3	1	12	15	15
YDR345C	NC_001136.10	1162957	1164660	-	1704	923	787	893	1147	1163	754	5200	5811	5178
YDR346C	NC_001136.10	1167214	1168659	-	1446	287	219	294	499	370	237	236	312	301
YDR347W	NC_001136.10	1169178	1170143	+	966	141	93	97	225	147	121	93	128	126
YDR348C	NC_001136.10	1170326	1171825	-	1500	143	65	64	115	129	59	82	106	97
YDR349C	NC_001136.10	1172386	1174176	-	1791	52	62	45	170	117	94	146	179	183
YNCD0025W	NC_001136.10	1175829	1175901	+	73	1	1	0	0	0	0	0	1	0
YDR350C	NC_001136.10	1176120	1178174	-	2055	96	74	78	120	94	59	97	122	99
YDR351W	NC_001136.10	1178666	1181260	+	2595	97	57	81	157	102	62	135	143	172
YDR352W	NC_001136.10	1181801	1182754	+	954	34	16	15	119	73	70	77	95	99
YDR353W	NC_001136.10	1183299	1184258	+	960	216	134	171	309	244	181	160	164	182
YDR354W	NC_001136.10	1184747	1185889	+	1143	67	52	37	135	106	77	28	33	33
YDR356W	NC_001136.10	1186107	1188941	+	2835	613	452	400	259	571	41	98	115	121
YDR357C	NC_001136.10	1189199	1189567	-	369	238	148	199	118	120	27	31	49	46
YDR358W	NC_001136.10	1190059	1191732	+	1674	359	273	292	155	139	64	120	205	196
YDR359C	NC_001136.10	1191936	1194884	-	2949	181	111	134	140	160	45	145	156	136
YDR361C	NC_001136.10	1195412	1196263	-	852	179	115	118	154	145	66	96	121	135
YDR362C	NC_001136.10	1196679	1198697	-	2019	83	56	68	85	79	58	88	103	87
YDR363W	NC_001136.10	1199183	1200553	+	1371	130	100	98	71	127	20	71	74	84
YNCD0026W	NC_001136.10	1201750	1201822	+	73	0	0	0	0	0	0	0	0	0
YDR363W-A	NC_001136.10	1202128	1202397	+	270	480	334	338	241	360	67	67	81	91
YDR364C	NC_001136.10	1202843	1204210	-	1368	21	25	15	80	59	48	52	62	104
YDR365C	NC_001136.10	1204497	1206383	-	1887	218	120	115	115	243	37	98	121	131
YDR365W-B	NC_001136.10	1206997	1212265	+	5269	0	0	0	0	1	0	0	0	0
YDR365W-A	NC_001136.10	1206997	1208319	+	1323	0	0	0	0	0	0	0	0	0
YDR366C	NC_001136.10	1212438	1212836	-	399	20	15	10	8	7	6	7	3	4
YDR367W	NC_001136.10;NC_001136.10	1212848;1212979	1212877;1213614	+;+	666	88	61	65	139	94	76	76	78	80
YDR368W	NC_001136.10	1213904	1214842	+	939	267	136	188	442	349	216	276	342	312
YDR369C	NC_001136.10	1215016	1217580	-	2565	34	38	37	94	70	37	60	88	83
YDR370C	NC_001136.10	1217782	1219110	-	1329	32	18	24	79	72	34	60	82	65
YDR371W	NC_001136.10	1219413	1220948	+	1536	43	19	27	52	49	21	40	66	83
YDR372C	NC_001136.10	1221112	1222149	-	1038	189	106	122	409	333	173	163	190	177
YDR373W	NC_001136.10	1222759	1223331	+	573	75	57	59	173	139	81	80	99	87
YDR374C	NC_001136.10	1223474	1224394	-	921	12	4	8	13	11	3	3	3	6
YDR374W-A	NC_001136.10	1224757	1225026	+	270	27	18	23	24	27	15	28	40	30
YDR375C	NC_001136.10	1225166	1226536	-	1371	154	90	116	169	139	92	123	150	142
YDR376W	NC_001136.10	1226822	1228303	+	1482	80	46	52	163	121	100	113	154	126
YDR377W	NC_001136.10	1228611	1228916	+	306	676	473	523	1183	916	516	438	534	531
YDR378C	NC_001136.10	1229349	1229609	-	261	101	73	69	149	117	87	74	103	97
YDR379W	NC_001136.10	1230167	1233196	+	3030	125	118	114	171	192	44	226	233	288
YDR379C-A	NC_001136.10	1233278	1233517	-	240	384	315	386	215	280	80	85	89	103
YDR380W	NC_001136.10	1234218	1236125	+	1908	36	28	40	207	89	81	22	33	25
YDR381W	NC_001136.10;NC_001136.10	1236558;1237609	1236842;1238004	+;+	681	437	342	308	523	442	284	274	379	366
YDR381C-A	NC_001136.10;NC_001136.10	1238312;1238825	1238630;1238850	-;-	345	177	143	126	181	254	64	73	106	119
YDR382W	NC_001136.10	1239492	1239824	+	333	439	269	344	608	385	281	251	283	271
YDR383C	NC_001136.10	1239960	1240676	-	717	37	27	27	52	52	17	28	33	31
YDR384C	NC_001136.10	1241204	1242031	-	828	32	21	35	14	16	10	24	27	14
YDR385W	NC_001136.10	1243230	1245758	+	2529	206	126	102	309	241	228	300	330	274
YDR386W	NC_001136.10	1246084	1247982	+	1899	61	31	32	81	76	30	55	63	64
YDR387C	NC_001136.10	1248154	1249821	-	1668	52	50	64	90	62	72	82	65	67
YDR388W	NC_001136.10	1250186	1251634	+	1449	531	409	499	183	264	108	140	175	193
